genre,count
deep acoustic pop,2
cincinnati indie,3
victoria bc indie,4
zambian hip hop,2
soul flow,7
chillhop,11
jazz boom bap,10
lo-fi beats,11
lo-fi jazzhop,2
indie hip hop,11
austin hip hop,1
york indie,12
tampa indie,1
cinematic post-rock,4
instrumental post-rock,9
post-rock,23
okc indie,2
manitoba indie,4
"""womens music""",10
electroacoustic improvisation,1
experimental guitar,1
fourth world,5
mandible,10
edinburgh indie,1
scottish folk,1
nashville americana,4
braindance,2
uk experimental electronic,9
ebm,19
electro-industrial,20
neue deutsche harte,28
dark clubbing,4
darksynth,2
synthwave,10
dutch indie,7
brazilian modern jazz,1
piano mpb,1
electric bass,5
cello,3
uk metalcore,69
miami indie,5
canadian house,3
jamtronica,9
boston indie,2
kingston on indie,3
dub punk,4
modern ska punk,3
grand rapids indie,5
free jazz,28
cool jazz,18
hard bop,49
vintage hollywood,6
russian edm,6
uplifting trance,27
san marcos tx indie,17
bassline,7
chicago blues,5
midwest americana,3
acoustic chill,1
hindi indie,2
punjabi pop,9
southern soul blues,50
arkansas hip hop,4
danish indie pop,2
afro-cuban percussion,4
boogaloo,1
morna,1
portuguese pop,1
avant-garde,6
avant-garde jazz,15
japanese jazz,13
jazz harp,3
canadian modern jazz,3
highlife,2
mande pop,2
west african jazz,1
benga,1
spiritual jazz,3
scandinavian r&b,4
brazilian indie,3
cuban alternative,4
afrobeat,14
ethio-jazz,3
arabic jazz,1
french jazz,4
rock steady,12
tzadik,1
swiss indie,2
new age piano,58
alberta country,5
canadian contemporary country,9
chanson paillarde,1
ye ye,4
boom bap,9
phonk,3
j-pop,5
j-rock,4
japanese emo,4
visual kei,4
newcastle nsw indie,1
basshall,13
reggae cover,1
adoracion pentecostal,1
latin christian,61
merengue,3
adoracion,4
latin worship,51
papuri,3
rap cristiano,10
mariachi cristiano,1
reggaeton cristiano,1
adventista,1
musica cristiana guatemalteca,1
vbs,5
scottish electronic,18
norsk lovsang,3
russian ccm,1
classical cello,1
pittsburgh rock,3
ecm-style jazz,4
paracana,1
dayton indie,5
microtonal,3
austin rock,2
post-disco soul,1
industrial hip hop,6
wave,7
calgary indie,2
canadian post-punk,1
dream smp,3
experimental synth,1
fluxwork,1
wrock,1
hampton roads indie,4
indie emo,5
retro soul,10
christmas product,16
hip hop cubano,1
ecuadorian pop,10
deep latin christian,1
musica popular colombiana,9
vallenato moderno,1
colombian rock,1
dembow,4
instrumental bluegrass,1
jig and reel,1
albanian hip hop,2
kosovan pop,2
rva indie,2
lullaby,3
classify,5
pianissimo,1
coverchill,19
chutney,22
jazz house,2
turkish instrumental,2
turkish jazz,2
turkish soundtrack,2
african-american classical,12
classic italian pop,4
latin soundtrack,5
audiophile vocal,1
psychedelic trance,16
halftime dnb,3
rawstyle,14
korean trap,1
japanese chillhop,6
ambient post-rock,6
space ambient,2
destroy techno,4
gothic alternative,3
slayer,21
k-indie,10
arabic hip hop,3
gulf hip hop,3
norwegian pop rap,1
easycore,26
guyanese pop,1
modern uplift,4
j-punk,1
japanese garage rock,1
japanese girl punk,2
japanese pop punk,1
japanese punk rock,1
ok indie,2
flamenco guitar,1
ethereal wave,4
nordic post-rock,3
chamber choir,1
orthodox chant,1
russian choir,1
springfield mo indie,2
purple sound,10
danish alternative rock,9
danish rock,9
tucson indie,4
tribute,4
rajasthani folk,1
bluegrass gospel,27
jamgrass,6
string band,7
old-time fiddle,1
washboard,2
traditional bluegrass,8
vintage old-time,11
vintage western,1
vintage country folk,7
kentucky mountain folk,1
piedmont blues,2
nightrun,2
funky house,2
dutch indie rock,4
dutch singer-songwriter,2
belgian electronic,2
belgian indie,6
belgian indie rock,1
ghent indie,1
swedish house,3
gaming dubstep,8
slovenian electronic,3
rap espanol,4
urbano espanol,5
lancaster pa indie,6
aggrotech,6
futurepop,4
corrido,188
deep regional mexican,98
sierreno,100
corridos tumbados,38
banda jalisciense,1
tamborazo,1
tololoche,2
